#ai table:
#i	c[i]	a[i]	C[i]	b[i]
1	19.8016	0.796972	20.2083	0.6484
2	39.6031	0.160811	40.4167	0.257806
3	59.4047	0.0417588	60.625	0.0934918
4	79.2063	0.000457868	80.8334	0.000302667
5	99.0079	0	101.042	0
6	118.809	0	121.25	0
#depth	real_P(x)	real_F(x)	est_P(x)	est_F(x)
1	4.40058e-05	1.77422e-06	3.97187e-08	1.11212e-09
2	1.60021e-05	1.29034e-06	3.92746e-07	2.19997e-08
3	7.12094e-05	8.61303e-06	2.5916e-06	2.21744e-07
4	7.04093e-05	1.1355e-05	1.28283e-05	1.4929e-06
5	0.000140018	2.82262e-05	5.08024e-05	7.54101e-06
6	0.000205627	4.97427e-05	0.000167659	3.04763e-05
7	0.000476863	0.000134583	0.000474268	0.000102643
8	0.00098573	0.00031794	0.0011739	0.000296317
9	0.00232111	0.000842239	0.00258279	0.000748505
10	0.00496466	0.00200164	0.00511435	0.00168067
11	0.00857473	0.00380286	0.0092066	0.00339637
12	0.0139226	0.00673597	0.0151922	0.00623959
13	0.0215332	0.0112863	0.0231411	0.0105078
14	0.0306849	0.0173201	0.0327314	0.0163346
15	0.0407102	0.0246202	0.0432103	0.0235789
16	0.0521541	0.0336439	0.05348	0.0317676
17	0.0612601	0.0419879	0.062299	0.0401265
18	0.066816	0.0484898	0.0685448	0.0477056
19	0.0710438	0.0544223	0.0714552	0.0535702
20	0.0703709	0.0567441	0.0707784	0.0569983
21	0.0677521	0.0573641	0.0667932	0.0576291
22	0.0623042	0.0552634	0.0602063	0.0555195
23	0.0547208	0.0507432	0.0519723	0.0511015
24	0.0453628	0.0438943	0.0430929	0.0450645
25	0.0369513	0.0372449	0.0344492	0.0382021
26	0.0283125	0.029679	0.0266963	0.031269
27	0.0205755	0.0223981	0.0202281	0.0248759
28	0.0162253	0.0183168	0.0151975	0.0194381
29	0.0120288	0.0140643	0.0115707	0.0151721
30	0.00941164	0.0113837	0.00919218	0.0121251
31	0.00787064	0.00983715	0.00784404	0.0102219
32	0.00724496	0.00934724	0.00729088	0.00931185
33	0.00707853	0.00941792	0.00730786	0.00920741
34	0.00749059	0.0102682	0.00769502	0.00971137
